dataset,fbg,impact_id,start_time,peak_time,end_time,pre_impact_baseline,peak_value,peak_shift,absolute_peak_shift,post_impact_level,residual_shift,rise_time,recovery_time,residual_n_samples,residual_reason
expert9,FBG2,expert9-FBG2-007,9.559904,9.759902,11.879881,1.0942890127497171e-06,-0.03646274918416642,-0.03646384347317917,0.03646384347317917,,,0.1999980000000008,2.119978999999999,4,insufficient_post_impact_samples(4<5)
expert9,FBG2,expert9-FBG2-008,12.059879,14.519854,14.719852,1.0942890127497171e-06,-0.03658132727270588,-0.036582421561718634,0.036582421561718634,-0.034999812121214974,-0.035000906410227725,2.459975,0.199997999999999,21,
expert9,FBG2,expert9-FBG2-009,15.139848,15.199847,15.699843,1.0942890127497171e-06,-0.03596734125873354,-0.03596843554774629,0.03596843554774629,-0.035202143123514266,-0.03520323741252702,0.05999899999999947,0.49999599999999944,7,
expert9,FBG2,expert9-FBG2-010,15.93984,18.139818,18.339816,1.0942890127497171e-06,-0.036849462470896585,-0.036850556759909336,0.036850556759909336,-0.0348902317016372,-0.03489132599064995,2.1999780000000015,0.19999799999999723,13,
expert9,FBG2,expert9-FBG2-011,18.699813,19.399806,19.599804,1.0942890127497171e-06,-0.036368273659748686,-0.03636936794876144,0.03636936794876144,-0.035609812121209776,-0.03561090641022253,0.6999930000000028,0.19999799999999723,19,
expert9,FBG2,expert9-FBG2-012,20.079799,21.93978,22.319777,1.0942890127497171e-06,-0.03657170023310369,-0.03657279452211644,0.03657279452211644,-0.03524811048952219,-0.035249204778534944,1.8599809999999977,0.3799969999999995,20,
expert9,FBG2,expert9-FBG2-013,22.819771,23.899761,24.099758,1.0942890127497171e-06,-0.037433984615385635,-0.037435078904398386,0.037435078904398386,-0.0354862340326408,-0.03548732832165355,1.0799900000000022,0.19999699999999976,50,
expert9,FBG2,expert9-FBG2-014,25.219747,25.89974,26.419735,1.0942890127497171e-06,-0.03651256270393685,-0.0365136569929496,0.0365136569929496,-0.03581629230769177,-0.03581738659670452,0.6799929999999996,0.519994999999998,29,
expert9,FBG2,expert9-FBG2-015,27.039729,27.239727,27.439725,1.0942890127497171e-06,-0.03729580279718805,-0.0372968970862008,0.0372968970862008,-0.03578475384612376,-0.03578584813513651,0.19999799999999723,0.1999980000000008,29,
expert9,FBG2,expert9-FBG2-016,28.079719,28.459715,28.479715,1.0942890127497171e-06,-0.03622731794870365,-0.036228412237716404,0.036228412237716404,-0.03536926433567411,-0.03537035862468686,0.37999599999999845,0.019999999999999574,14,
expert9,FBG2,expert9-FBG2-017,28.859711,29.059709,29.9197,1.0942890127497171e-06,-0.036991910023296666,-0.03699300431230942,0.03699300431230942,-0.03596573286714935,-0.035966827156162104,0.1999980000000008,0.8599909999999973,29,
expert9,FBG2,expert9-FBG2-018,30.599693,31.639683,31.839681,1.0942890127497171e-06,-0.0372890195803573,-0.03729011386937005,0.03729011386937005,,,1.039990000000003,0.19999799999999723,3,insufficient_post_impact_samples(3<5)
expert9,FBG2,expert9-FBG2-019,31.999679,32.89967,33.219667,1.0942890127497171e-06,-0.037130791142164755,-0.03713188543117751,0.03713188543117751,-0.03622216643360171,-0.03622326072261446,0.899991,0.31999700000000075,11,
expert9,FBG2,expert9-FBG2-020,33.539664,37.359626,37.95962,1.0942890127497171e-06,-0.03779242284386549,-0.03779351713287824,0.03779351713287824,-0.036199345920737584,-0.036200440209750336,3.8199619999999967,0.5999940000000024,29,
expert9,FBG2,expert9-FBG2-021,38.639613,38.839611,39.039609,1.0942890127497171e-06,-0.03730936923074408,-0.03731046351975683,0.03731046351975683,-0.03642853006988159,-0.03642962435889434,0.1999980000000008,0.1999980000000008,21,
expert9,FBG2,expert9-FBG2-022,39.559604,39.8796,40.239597,1.0942890127497171e-06,-0.03716368158509512,-0.037164775874107873,0.037164775874107873,-0.03615281911419865,-0.036153913403211405,0.3199960000000033,0.3599969999999999,18,
expert9,FBG2,expert9-FBG2-023,40.699592,41.499584,41.699582,1.0942890127497171e-06,-0.03746967226104519,-0.03747076655005794,0.03747076655005794,-0.0365497655011867,-0.03655085979019945,0.799991999999996,0.1999980000000008,21,
expert9,FBG2,expert9-FBG2-024,41.999579,42.359576,42.559574,1.0942890127497171e-06,-0.03718111748250131,-0.03718221177151406,0.03718221177151406,-0.03652957902098705,-0.0365306733099998,0.3599969999999999,0.1999980000000008,29,
expert9,FBG2,expert9-FBG2-025,42.89957,42.95957,43.299566,1.0942890127497171e-06,-0.03698326200463391,-0.03698435629364666,0.03698435629364666,-0.036570068531484576,-0.03657116282049733,0.060000000000002274,0.3399959999999993,29,
expert9,FBG2,expert9-FBG2-026,43.799561,43.999559,44.199557,1.0942890127497171e-06,-0.03759223636358075,-0.0375933306525935,0.0375933306525935,-0.03667087272726774,-0.03667196701628049,0.1999980000000008,0.1999980000000008,16,
expert9,FBG2,expert9-FBG2-027,44.419555,44.87955,45.079548,1.0942890127497171e-06,-0.03783794731931955,-0.0378390416083323,0.0378390416083323,-0.03619925268065517,-0.036200346969667924,0.45999499999999927,0.1999980000000008,17,
expert9,FBG2,expert9-FBG2-028,45.519544,46.559534,46.759531,1.0942890127497171e-06,-0.03834801724939649,-0.03834911153840924,0.03834911153840924,,,1.039989999999996,0.1999970000000033,3,insufficient_post_impact_samples(3<5)
expert9,FBG2,expert9-FBG2-029,46.91953,47.459525,48.039519,1.0942890127497171e-06,-0.03815880979018654,-0.038159904079199294,0.038159904079199294,-0.036701420512820285,-0.036702514801833036,0.5399949999999976,0.5799939999999992,9,
expert9,FBG2,expert9-FBG2-030,48.319516,48.979509,49.8595,1.0942890127497171e-06,-0.03814920606062773,-0.03815030034964048,0.03815030034964048,-0.036435429836792016,-0.03643652412580477,0.659993,0.8799909999999969,11,
expert9,FBG2,expert9-FBG2-031,50.179497,51.619483,52.519474,1.0942890127497171e-06,-0.03885463729604233,-0.03885573158505508,0.03885573158505508,-0.037076000932393625,-0.03707709522140638,1.4399860000000047,0.899991,6,
expert9,FBG2,expert9-FBG2-032,52.739472,52.93947,54.259457,1.0942890127497171e-06,-0.03872151375289341,-0.038722608041906165,0.038722608041906165,-0.036796781818192584,-0.036797876107205335,0.1999980000000008,1.3199869999999976,29,
expert9,FBG2,expert9-FBG2-033,54.91945,55.119448,55.319446,1.0942890127497171e-06,-0.038220021911394106,-0.03822111620040686,0.03822111620040686,-0.0371844974358571,-0.03718559172486985,0.1999980000000008,0.1999980000000008,6,
expert9,FBG2,expert9-FBG2-034,55.519444,55.799441,56.379436,1.0942890127497171e-06,-0.038214917016319065,-0.038216011305331817,0.038216011305331817,-0.037043005594423827,-0.03704409988343658,0.2799970000000016,0.5799949999999967,7,
expert9,FBG2,expert9-FBG2-035,56.619433,57.539424,58.199417,1.0942890127497171e-06,-0.03863496363633497,-0.038636057925347723,0.038636057925347723,-0.03730278414916263,-0.037303878438175384,0.919990999999996,0.659993,30,
expert9,FBG2,expert9-FBG2-036,58.89941,59.099408,59.539403,1.0942890127497171e-06,-0.038500837762239275,-0.038501932051252026,0.038501932051252026,-0.03693805221439861,-0.03693914650341136,0.19999799999999368,0.43999500000000324,6,
expert9,FBG2,expert9-FBG2-037,59.759402,60.89939,61.639382,1.0942890127497171e-06,-0.038744986946353456,-0.03874608123536621,0.03874608123536621,-0.03741032494174595,-0.0374114192307587,1.1399879999999953,0.7399920000000009,29,
expert9,FBG2,expert9-FBG2-038,61.93938,62.039379,62.339375,1.0942890127497171e-06,-0.03809813379953389,-0.03809922808854664,0.03809922808854664,-0.03734097762235403,-0.03734207191136678,0.09999899999999684,0.29999600000000015,38,
expert9,FBG2,expert9-FBG2-039,63.199367,64.379355,65.159347,1.0942890127497171e-06,-0.038839299300695886,-0.03884039358970864,0.03884039358970864,-0.037640581351967184,-0.037641675640979935,1.1799880000000016,0.7799919999999929,50,
expert9,FBG2,expert9-FBG2-040,66.359335,66.559333,66.759331,1.0942890127497171e-06,-0.038857900699326105,-0.038858994988338856,0.038858994988338856,-0.03802929930071286,-0.03803039358972561,0.19999799999999368,0.1999980000000079,24,
expert9,FBG2,expert9-FBG2-041,67.339325,68.219317,68.279317,1.0942890127497171e-06,-0.03890934592076282,-0.03891044020977557,0.03891044020977557,-0.03796870489511031,-0.03796979918412306,0.8799920000000014,0.060000000000002274,50,
expert9,FBG2,expert9-FBG2-042,69.399305,69.8993,70.099298,1.0942890127497171e-06,-0.03927470722606559,-0.03927580151507834,0.03927580151507834,-0.03783316876460341,-0.03783426305361616,0.4999949999999984,0.1999980000000079,19,
expert9,FBG2,expert9-FBG2-043,70.579293,71.779281,72.339275,1.0942890127497171e-06,-0.03875393799534074,-0.038755032284353494,0.038755032284353494,-0.03741284242422713,-0.03741393671323988,1.1999879999999905,0.5599940000000032,20,
expert9,FBG2,expert9-FBG2-044,72.83927,73.039268,75.019249,1.0942890127497171e-06,-0.0394793459207436,-0.03948044020975635,0.03948044020975635,-0.03827696829841455,-0.0382780625874273,0.1999980000000079,1.979980999999995,22,
expert9,FBG2,expert9-FBG2-045,75.319246,75.519243,75.85924,1.0942890127497171e-06,-0.03922363496503588,-0.03922472925404863,0.03922472925404863,-0.03808725967370498,-0.03808835396271773,0.1999969999999962,0.3399969999999968,50,
expert9,FBG2,expert9-FBG2-046,77.379225,78.739211,81.299186,1.0942890127497171e-06,-0.03977302890446316,-0.03977412319347591,0.03977412319347591,-0.03798822703969103,-0.03798932132870378,1.3599859999999921,2.5599750000000085,21,
expert9,FBG2,expert9-FBG2-047,81.81918,82.019179,82.519174,1.0942890127497171e-06,-0.03934445081593467,-0.03934554510494742,0.03934554510494742,-0.038116455477871326,-0.03811754976688408,0.19999899999999116,0.4999950000000126,11,
expert9,FBG2,expert9-FBG2-048,82.83917,83.039168,83.679162,1.0942890127497171e-06,-0.039282982284416214,-0.039284076573428965,0.039284076573428965,-0.038065616317027484,-0.038066710606040235,0.1999980000000079,0.6399940000000015,29,
expert9,FBG2,expert9-FBG2-049,84.239156,84.439154,84.639152,1.0942890127497171e-06,-0.0394635650350227,-0.03946465932403545,0.03946465932403545,-0.03779072121215384,-0.037791815501166594,0.1999980000000079,0.19999799999999368,7,
expert9,FBG2,expert9-FBG2-050,84.87915,85.539143,85.739141,1.0942890127497171e-06,-0.03969734125876679,-0.03969843554777954,0.03969843554777954,-0.037881117482535476,-0.03788221177154823,0.659993,0.1999980000000079,8,
expert9,FBG2,expert9-FBG2-051,85.999139,86.679132,87.299126,1.0942890127497171e-06,-0.039897411188874854,-0.039898505477887605,0.039898505477887605,-0.038624497435975756,-0.03862559172498851,0.6799929999999961,0.6199940000000055,5,
expert9,FBG2,expert9-FBG2-052,87.499124,88.339115,88.91911,1.0942890127497171e-06,-0.03977433426571328,-0.03977542855472603,0.03977542855472603,-0.038629882051375936,-0.03863097634038869,0.8399910000000119,0.5799949999999967,19,
expert9,FBG2,expert9-FBG2-053,89.399105,89.599102,90.219096,1.0942890127497171e-06,-0.03989608251753417,-0.03989717680654692,0.03989717680654692,-0.038327061538501635,-0.038328155827514386,0.1999969999999962,0.6199939999999913,23,
expert9,FBG2,expert9-FBG2-054,90.639092,90.959089,91.159087,1.0942890127497171e-06,-0.03999610582761129,-0.03999720011662404,0.03999720011662404,-0.03840575617720482,-0.03840685046621757,0.31999700000000075,0.19999799999999368,19,
expert9,FBG2,expert9-FBG2-055,91.399085,91.719081,91.799081,1.0942890127497171e-06,-0.039271420512763854,-0.039272514801776605,0.039272514801776605,-0.03839080279720598,-0.038391897086218735,0.3199960000000033,0.0799999999999983,8,
expert9,FBG2,expert9-FBG2-056,92.059078,92.959069,93.159067,1.0942890127497171e-06,-0.03983214312350763,-0.03983323741252038,0.03983323741252038,-0.039007993939428366,-0.03900908822844112,0.899991,0.19999799999999368,19,
expert9,FBG2,expert9-FBG2-057,93.639062,94.259056,94.459054,1.0942890127497171e-06,-0.04006498694634128,-0.04006608123535403,0.04006608123535403,-0.03881869324008726,-0.03881978752910001,0.6199940000000055,0.19999799999999368,12,
expert9,FBG2,expert9-FBG2-058,94.679052,94.979049,95.079048,1.0942890127497171e-06,-0.039294287645714764,-0.039295381934727515,0.039295381934727515,-0.03848118741263297,-0.03848228170164572,0.29999700000000473,0.09999899999999684,24,
expert9,FBG2,expert9-FBG2-059,95.219046,95.419044,95.719041,1.0942890127497171e-06,-0.03946745780892631,-0.039468552097939064,0.039468552097939064,-0.03847384475529746,-0.03847493904431021,0.19999799999999368,0.29999700000000473,29,
expert9,FBG2,expert9-FBG2-060,96.339035,96.539033,96.739031,1.0942890127497171e-06,-0.04008666526807459,-0.04008775955708734,0.04008775955708734,,,0.1999980000000079,0.19999799999999368,3,insufficient_post_impact_samples(3<5)
expert9,FBG2,expert9-FBG2-061,96.899029,96.999028,98.959009,1.0942890127497171e-06,-0.03997666526810056,-0.03997775955711331,0.03997775955711331,-0.03907382144518243,-0.03907491573419518,0.09999899999999684,1.959980999999999,21,
expert9,FBG2,expert9-FBG2-062,99.279006,99.479004,99.839,1.0942890127497171e-06,-0.04039680512816495,-0.0403978994171777,0.0403978994171777,-0.039152993939404135,-0.039154088228416886,0.1999980000000079,0.3599959999999953,10,
expert9,FBG2,expert9-FBG2-063,100.138997,101.618982,103.958959,1.0942890127497171e-06,-0.04055608251755007,-0.040557176806562824,0.040557176806562824,-0.038879462470883794,-0.038880556759896545,1.4799849999999992,2.3399769999999904,14,
expert9,FBG2,expert9-FBG2-064,104.338955,105.258946,105.458944,1.0942890127497171e-06,-0.04008111748249735,-0.0400822117715101,0.0400822117715101,-0.039560558041918686,-0.03956165233093144,0.919990999999996,0.1999980000000079,18,
expert9,FBG2,expert9-FBG2-065,105.91894,106.938929,107.738921,1.0942890127497171e-06,-0.04040121072260924,-0.040402305011621995,0.040402305011621995,-0.03928650209788739,-0.03928759638690014,1.0199889999999954,0.7999920000000031,22,
expert9,FBG2,expert9-FBG2-066,108.218916,108.558913,108.758911,1.0942890127497171e-06,-0.039964777156183094,-0.039965871445195846,0.039965871445195846,-0.03915004522146842,-0.03915113951048117,0.339997000000011,0.19999799999999368,18,
expert9,FBG2,expert9-FBG2-067,108.958909,108.978909,109.358905,1.0942890127497171e-06,-0.039899159440492014,-0.039900253729504766,0.039900253729504766,-0.03871971888114071,-0.03872081317015346,0.01999999999999602,0.37999599999999134,9,
expert9,FBG2,expert9-FBG2-068,109.638902,109.8389,110.478894,1.0942890127497171e-06,-0.04121957902097839,-0.04122067330999114,0.04122067330999114,-0.039088868065247764,-0.039089962354260516,0.19999799999999368,0.6399940000000015,24,
