dataset,fbg,impact_id,start_time,peak_time,end_time,duration,num_samples,sampling_frequency_hz,wavelet,decomposition_level,wavelet_energy,approximation_energy,detail_energy,wavelet_entropy
expert9,FBG2,expert9-FBG2-015,27.039729,27.239727,27.439725,0.399995999999998,21,50.000000000001066,db4,3,0.03587469562735987,0.035874107014796416,5.886125634567334e-07,0.00028447204715369785
expert9,FBG2,expert9-FBG2-016,28.079719,28.459715,28.479715,0.399995999999998,21,50.00250012500989,db4,3,0.035382451046621424,0.03538233285884141,1.1818778001149274e-07,6.55842835052178e-05
expert9,FBG2,expert9-FBG2-017,28.859711,29.059709,29.9197,1.059988999999998,54,50.000000000001066,db4,3,0.09081764539989119,0.09081527146120284,2.3739386883426833e-06,0.0004552860070771319
expert9,FBG2,expert9-FBG2-018,30.599693,31.639683,31.839681,1.2399880000000003,63,49.999999999992184,db4,3,0.14191125192231185,0.14188863212236852,2.261979994333573e-05,0.0023701910062196374
expert9,FBG2,expert9-FBG2-019,31.999679,32.89967,33.219667,1.2199880000000007,62,50.00000000000995,db4,3,0.13541145204397864,0.13539066781656933,2.078422740931379e-05,0.00227527070150105
expert9,FBG2,expert9-FBG2-020,33.539664,37.359626,37.95962,4.419955999999999,222,50.00000000000995,db4,3,0.3455126379890682,0.34547098782930413,4.1650159764095355e-05,0.001859123937339906
expert9,FBG2,expert9-FBG2-021,38.639613,38.839611,39.039609,0.3999960000000016,21,49.999999999992184,db4,3,0.037178035179795635,0.03717787119451254,1.6398528309673626e-07,8.483408119538312e-05
expert9,FBG2,expert9-FBG2-022,39.559604,39.8796,40.239597,0.6799930000000032,35,50.00250012500989,db4,3,0.07317585935605796,0.07317468799387063,1.1713621873325007e-06,0.00029244642971435733
expert9,FBG2,expert9-FBG2-023,40.699592,41.499584,41.699582,0.9999899999999968,51,50.00000000000995,db4,3,0.09431380162452321,0.09431143608314058,2.365541382630677e-06,0.00044432709567013447
expert9,FBG2,expert9-FBG2-024,41.999579,42.359576,42.559574,0.5599950000000007,29,49.999999999992184,db4,3,0.06308542911820687,0.0630849217717866,5.073464202751081e-07,0.0001557486620720589
expert9,FBG2,expert9-FBG2-025,42.89957,42.95957,43.299566,0.3999960000000016,21,49.999999999992184,db4,3,0.03722401265825531,0.03722383560492298,1.7705333233857453e-07,9.096374253552116e-05
expert9,FBG2,expert9-FBG2-026,43.799561,43.999559,44.199557,0.3999960000000016,21,49.999999999992184,db4,3,0.037269048361662685,0.03726853598130811,5.123803545761787e-07,0.00024187236535030333
